                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91847,                 2.7563,                 1.3547,                0.00457,                0.85714,                0.10564,                0.03958,                0.76711,                 3.3399,                 1.5519,                  6e-05,                  6e-05,                  6e-05
                      2,                0.81974,                 2.7475,                 1.2904,                0.00476,                0.89286,                0.64928,                0.53728,                0.45907,                 2.9985,                 1.0466,             0.00013986,             0.00013986,             0.00013986
                      3,                 0.7478,                   2.05,                 1.2276,                 0.8381,                0.46227,                0.74986,                0.55457,                0.66457,                 2.8063,                 1.2312,             0.00021956,             0.00021956,             0.00021956
                      4,                0.64717,                 1.3707,                 1.1135,                      1,                0.21416,                0.75283,                0.63861,                0.65293,                 2.7576,                 1.2152,             0.00029911,             0.00029911,             0.00029911
                      5,                0.62303,                 1.1711,                 1.1143,                      1,                0.29811,                0.82532,                0.60513,                0.69594,                 2.7927,                 1.3091,              0.0003785,              0.0003785,              0.0003785
                      6,                0.56662,                0.95489,                 1.0849,                0.94916,                0.66689,                0.82189,                0.61415,                0.78421,                 2.5652,                 1.3457,             0.00045772,             0.00045772,             0.00045772
                      7,                0.62476,                0.97651,                 1.0778,                0.95548,                0.76655,                0.84499,                0.67534,                0.73421,                 2.3769,                 1.2793,             0.00053679,             0.00053679,             0.00053679
                      8,                0.64682,                 0.9353,                 1.0842,                0.97746,                0.77458,                0.84131,                0.70323,                0.64782,                 2.2271,                 1.1614,              0.0006157,              0.0006157,              0.0006157
                      9,                0.59431,                0.87064,                 1.0675,                 0.9411,                0.57067,                0.80707,                0.62971,                0.75291,                 2.3772,                 1.3237,             0.00069446,             0.00069446,             0.00069446
                     10,                0.62275,                0.84447,                 1.0701,                      1,                 0.2637,                0.75244,                0.53302,                0.82516,                 2.8102,                 1.3166,             0.00077305,             0.00077305,             0.00077305
                     11,                0.59423,                0.83654,                  1.065,                0.88844,                0.57143,                0.71388,                0.51767,                0.90856,                 2.4979,                 1.4732,             0.00085149,             0.00085149,             0.00085149
